product_id,product_name,category,revenue,units_sold,avg_margin_pct,relative_revenue_share,demand_velocity,bcg_quadrant
1,Soft Wrap Dress,Dresses,408.14,11,0.41459793217085844,0.001258771910616153,11,Dogs
2,Soft Wrap Tee,T-Shirts,1474.8600000000001,20,0.2560025289696538,0.004548714509950849,20,Stars
3,Soft Linen Tee,T-Shirts,454.1,19,0.38033472803347274,0.00140052022494927,19,Question Marks
4,Soft Ribbed Tee,T-Shirts,540.0,9,0.42033333333333334,0.0016654501684047693,9,Dogs
5,Soft Wrap Trousers,Pants,1197.3,34,0.5319324942856524,0.0036926731233907968,34,Stars
6,Soft Wrap Shoes,Shoes,354.3,5,0.5532034998588767,0.0010927203604922404,5,Dogs
7,Soft Linen Dress,Dresses,576.5999999999999,10,0.5825528962885882,0.00177833067981887,10,Dogs
8,Soft Linen Trousers,Pants,254.54999999999998,5,0.3402082105676683,0.000785074704384137,5,Dogs
9,Soft Linen Shoes,Shoes,567.0,14,0.41975308641975306,0.0017487226768250078,14,Question Marks
10,Soft Ribbed Trousers,Pants,1594.0,20,0.3875784190715182,0.004916162163772597,20,Stars
11,Soft Ribbed Shoes,Shoes,480.25,10,0.5358168985468027,0.00148117119143776,10,Dogs
12,Soft Ribbed Dress,Dresses,1016.28,23,0.26684225915530674,0.0031343772169377757,23,Stars
13,Soft Cotton Shoes,Shoes,609.65,19,0.2947206613783993,0.0018802623984591992,19,Stars
14,Soft Cotton Dress,Dresses,264.57,11,0.48639175713256816,0.0008159780575089812,11,Dogs
15,Soft Cotton Tee,T-Shirts,306.3,5,0.5453803460659484,0.0009446803455229276,5,Dogs
16,Soft Cotton Trousers,Pants,524.6800000000001,13,0.5450941526263627,0.0016182007302937306,13,Question Marks
17,Soft Satin Dress,Dresses,565.71,13,0.40338563170933106,0.0017447441014227076,13,Question Marks
18,Soft Satin Shoes,Shoes,877.19,22,0.41599232745786696,0.0027054004318944067,22,Stars
19,Soft Silk Dress,Dresses,1527.0800000000002,24,0.419983007482397,0.004709769709569547,24,Stars
20,Soft Crew Dress,Dresses,499.62,11,0.512549537648613,0.001540911505811835,11,Dogs
21,Soft Silk Shoes,Shoes,216.5,5,0.41639722863741335,0.0006677221508511714,5,Dogs
22,Soft Satin Tee,T-Shirts,739.9,13,0.531133264733316,0.002281975147412387,13,Stars
23,Soft Sleeveless Dress,Dresses,178.75,7,0.4943030303030303,0.0005512948474117639,7,Dogs
24,Soft High-Waist Dress,Dresses,726.92,17,0.49017773620205796,0.0022419426600311016,17,Stars
25,Soft Wrap Set,Sleepwear,847.04,16,0.46316584812995837,0.002612412797491807,16,Stars
26,Soft Crew Shoes,Shoes,57.48,1,0.3644745998608211,0.0001772779179257521,1,Dogs
27,Soft Boxy Dress,Dresses,860.25,15,0.5400174367916304,0.0026531546432781534,15,Stars
28,Soft Sleeveless Shoes,Shoes,859.82,18,0.39818660848736764,0.002651828451477387,18,Stars
29,Soft Linen Set,Sleepwear,486.97,11,0.42218206460356916,0.001501896793533464,11,Dogs
30,Soft Satin Trousers,Pants,267.37,9,0.5630345596760633,0.0008246137250488577,9,Dogs
31,Soft Silk Trousers,Pants,488.73999999999995,7,0.4177885992552277,0.0015073557690854571,7,Dogs
32,Soft Silk Tee,T-Shirts,586.68,11,0.5165548726081225,0.001809419082962426,11,Dogs
33,Modern Wrap Dress,Dresses,260.92,4,0.5805610915223057,0.0008047208480373564,4,Dogs
34,Modern Linen Dress,Dresses,1256.8400000000001,26,0.3152668597434837,0.003876304425292316,26,Stars
35,Modern Ribbed Dress,Dresses,554.49,9,0.31033923064437585,0.0017101397479236306,9,Dogs
36,Modern Cotton Dress,Dresses,576.48,8,0.3574798778795449,0.0017779605797814471,8,Dogs
37,Soft Crew Trousers,Pants,153.99,3,0.508669394116501,0.00047493087302342675,3,Dogs
38,Soft Crew Tee,T-Shirts,1381.6,23,0.5376027268656932,0.004261085097533387,23,Stars
39,Soft Sleeveless Trousers,Pants,209.79,7,0.394728061394728,0.0006470273904252529,7,Dogs
40,Soft High-Waist Trousers,Pants,957.42,18,0.46794510246286886,0.002952843148581656,18,Stars
41,Soft Boxy Trousers,Pants,569.0999999999999,15,0.5632577754348972,0.001755199427479915,15,Question Marks
42,Soft Ribbed Set,Sleepwear,596.2,11,0.45147601476014765,0.0018387803525980067,11,Cash Cows
43,Modern Satin Dress,Dresses,844.74,18,0.5603672643146327,0.0026053192134411944,18,Stars
44,Modern Wrap Trousers,Pants,1115.25,19,0.23117653718496187,0.0034396172228026278,19,Stars
45,Soft Sleeveless Tee,T-Shirts,346.62,7,0.454092241582301,0.0010690339580971503,7,Dogs
46,Soft Cotton Set,Sleepwear,276.65,11,0.40119284294234586,0.0008532347946095915,11,Dogs
47,Soft High-Waist Tee,T-Shirts,440.58,10,0.40064468996285746,0.00135882228739958,10,Dogs
48,Soft High-Waist Shoes,Shoes,500.29999999999995,11,0.2850869070380312,0.0015430087393572334,11,Dogs
49,Soft Boxy Tee,T-Shirts,458.8,8,0.4359197907585004,0.0014150158097483486,8,Dogs
50,Modern Wrap Tee,T-Shirts,557.55,9,0.5444713478611785,0.0017195772988779243,9,Dogs
51,Soft Satin Set,Sleepwear,119.28999999999999,5,0.2107010765200318,0.00036791027886852766,5,Dogs
52,Modern Linen Tee,T-Shirts,643.3199999999999,12,0.3674687558291364,0.001984106300626215,12,Cash Cows
53,Soft Boxy Shoes,Shoes,1429.25,25,0.31817386741297893,0.004408045654060216,25,Stars
54,Modern Silk Dress,Dresses,904.9499999999999,15,0.3315100281783524,0.002791016907218326,15,Stars
55,Modern Ribbed Tee,T-Shirts,930.72,21,0.4205776173285199,0.002870495890254976,21,Stars
56,Modern Wrap Shoes,Shoes,440.44,7,0.32342657342657344,0.0013583905040225864,7,Dogs
57,Modern Crew Dress,Dresses,261.4,5,0.5734506503442999,0.0008062012481870494,5,Dogs
58,Modern Sleeveless Dress,Dresses,71.62,2,0.5411896118402681,0.00022088803900212887,2,Dogs
59,Soft Silk Set,Sleepwear,511.78,16,0.5274224387900772,0.0015784149762707274,16,Question Marks
60,Modern Cotton Tee,T-Shirts,1919.95,25,0.4719856118702071,0.005921446390423587,25,Stars
61,Modern Satin Tee,T-Shirts,254.4,5,0.4834905660377358,0.000784612079337358,5,Dogs
62,Modern Linen Trousers,Pants,460.9,10,0.5185506617487524,0.0014214925604032558,10,Dogs
63,Soft Crew Set,Sleepwear,1202.74,22,0.2819762257847011,0.0037094509917539858,22,Stars
64,Soft Sleeveless Set,Sleepwear,13.51,1,0.4929681717246484,4.1667095879904506e-05,1,Dogs
65,Modern Silk Tee,T-Shirts,439.2,16,0.5158469945355192,0.0013545661369692124,16,Question Marks
66,Modern High-Waist Dress,Dresses,96.52,4,0.4372150849564857,0.0002976837967674599,4,Dogs
67,Modern Crew Tee,T-Shirts,67.37,1,0.5576666171886597,0.00020778032934338762,1,Dogs
68,Soft High-Waist Set,Sleepwear,831.95,18,0.3451795341091385,0.0025658727177858293,18,Stars
69,Modern Linen Shoes,Shoes,899.64,18,0.5776310524209683,0.002774639980562346,18,Stars
70,Modern Boxy Dress,Dresses,1061.28,16,0.30393487109905015,0.0032731647309715067,16,Stars
71,Modern Ribbed Trousers,Pants,1292.16,16,0.3683754333828629,0.0039852372029739016,16,Stars
72,Classic Wrap Dress,Dresses,291.2,4,0.5403846153846154,0.0008981094241471645,4,Dogs
73,Soft Boxy Set,Sleepwear,745.5,14,0.5983098591549295,0.00229924648249214,14,Stars
74,Modern Wrap Set,Sleepwear,781.9499999999999,20,0.30936586404650057,0.0024116643688594616,20,Stars
75,Modern Linen Set,Sleepwear,512.45,10,0.3224637364027826,0.001580481368146341,10,Dogs
76,Modern Cotton Trousers,Pants,827.2,16,0.38123791102514515,0.0025512229246378248,16,Stars
77,Classic Linen Dress,Dresses,209.52,4,0.36865215731195117,0.0006461946653410506,4,Dogs
78,Modern Ribbed Shoes,Shoes,1415.12,26,0.5375717283327109,0.004364466374653624,26,Stars
79,Modern Satin Trousers,Pants,885.08,14,0.4924074659917747,0.0027297345093549876,14,Stars
80,Classic Ribbed Dress,Dresses,509.76,16,0.5652856246076584,0.0015721849589741023,16,Question Marks
81,Modern Ribbed Set,Sleepwear,414.82,14,0.34120823489706376,0.0012793741460327157,14,Question Marks
82,Classic Cotton Dress,Dresses,550.79,18,0.37099921455030077,0.0016987283301030795,18,Question Marks
83,Modern Sleeveless Tee,T-Shirts,329.46,6,0.4293623331685616,0.0010161096527456209,6,Dogs
84,Modern Cotton Shoes,Shoes,627.25,20,0.5752192465292267,0.0019345437372812807,20,Stars
85,Classic Satin Dress,Dresses,634.95,17,0.5068273092369477,0.0019582918230159414,17,Stars
86,Modern Cotton Set,Sleepwear,453.86,11,0.5024236548715463,0.0013997800248744235,11,Dogs
87,Classic Silk Dress,Dresses,53.32,1,0.3810952738184546,0.00016444778329507834,1,Dogs
88,Modern Satin Set,Sleepwear,1102.97,37,0.40858772224085876,0.003401743652306312,37,Stars
89,Modern Satin Shoes,Shoes,591.0699999999999,14,0.26236537904410273,0.001822958575998161,14,Question Marks
90,Modern Silk Shoes,Shoes,478.22,16,0.41206886704753976,0.0014749103324713498,16,Question Marks
91,Modern Silk Set,Sleepwear,271.6,8,0.5640648011782032,0.0008376597513680285,8,Dogs
92,Modern Crew Shoes,Shoes,563.5,14,0.38608695652173913,0.001737928092400162,14,Question Marks
93,Modern Silk Trousers,Pants,195.9,5,0.3718734047983665,0.000604188311093508,5,Dogs
94,Modern Sleeveless Shoes,Shoes,229.0,5,0.4316593886462881,0.0007062742380827633,5,Dogs
95,Modern Crew Set,Sleepwear,716.45,23,0.368860353130016,0.0022096514317659207,23,Stars
96,Modern High-Waist Tee,T-Shirts,624.48,16,0.45196003074558033,0.00192600059475076,16,Stars
97,Modern High-Waist Shoes,Shoes,497.43000000000006,9,0.44309752125927265,0.0015341571801288601,9,Dogs
98,Modern Boxy Shoes,Shoes,1020.76,13,0.4717269485481406,0.0031481942850015783,13,Stars
99,Modern Boxy Tee,T-Shirts,382.59000000000003,7,0.5341197826252344,0.0011799714443147791,7,Dogs
100,Classic Crew Dress,Dresses,603.91,11,0.5580830036217124,0.0018625592800024522,11,Cash Cows
101,Classic Wrap Tee,T-Shirts,522.99,9,0.5906040268456376,0.001612988488100019,9,Dogs
102,Classic Linen Tee,T-Shirts,1076.5,25,0.4089642359498375,0.003320105752384693,25,Stars
103,Classic Ribbed Tee,T-Shirts,627.0,11,0.5056140350877193,0.001933772695536649,11,Cash Cows
104,Classic Wrap Shoes,Shoes,221.34,3,0.4474112225535375,0.0006826495190272438,3,Dogs
105,Classic Cotton Tee,T-Shirts,553.5,15,0.3276422764227642,0.0017070864226148886,15,Question Marks
106,Classic Satin Tee,T-Shirts,554.2,14,0.5145868390101735,0.0017092453394998578,14,Question Marks
107,Classic Linen Shoes,Shoes,1018.61,19,0.4416373604587659,0.003141563325997745,19,Stars
108,Modern Crew Trousers,Pants,192.76,4,0.37331396555301927,0.0005945040267809321,4,Dogs
109,Classic Sleeveless Dress,Dresses,543.24,12,0.5312569030262868,0.001675442869415198,12,Dogs
110,Classic High-Waist Dress,Dresses,986.1600000000001,18,0.5314918471647603,0.003041482107544532,18,Stars
111,Modern Sleeveless Trousers,Pants,1086.48,18,0.5130881378396289,0.003350885738830396,18,Stars
112,Modern Sleeveless Set,Sleepwear,550.8,9,0.5516339869281046,0.0016987591717728646,9,Dogs
113,Classic Boxy Dress,Dresses,744.4200000000001,19,0.3210821847881572,0.002295915582155331,19,Stars
114,Classic Ribbed Shoes,Shoes,381.08000000000004,18,0.3117475314918367,0.001175314352177203,18,Question Marks
115,Modern High-Waist Set,Sleepwear,560.4300000000001,9,0.40998875863176487,0.0017284596997760833,9,Dogs
116,Modern High-Waist Trousers,Pants,1907.66,26,0.32940622704901634,0.005883541978257486,26,Stars
117,Vintage Wrap Dress,Dresses,392.42,7,0.358901177310025,0.001210288805713703,7,Dogs
118,Classic Silk Tee,T-Shirts,563.88,12,0.5439455203234731,0.0017391000758520026,12,Dogs
119,Vintage Linen Dress,Dresses,328.08,12,0.33211411850768097,0.0010118535023152533,12,Dogs
120,Modern Boxy Set,Sleepwear,334.09999999999997,13,0.43813229571984436,0.0010304201875259878,13,Question Marks
121,Classic Cotton Shoes,Shoes,718.65,15,0.35775412231266956,0.0022164365991186805,15,Stars
122,Modern Boxy Trousers,Pants,223.2,9,0.3310483870967742,0.0006883860696073047,9,Dogs
123,Classic Wrap Set,Sleepwear,535.14,9,0.43388316922401043,0.0016504611168891264,9,Dogs
124,Classic Linen Set,Sleepwear,990.72,18,0.5670421511627908,0.003055545908966617,18,Stars
125,Classic Satin Shoes,Shoes,980.32,16,0.5315815244001959,0.0030234705723899327,16,Stars
126,Classic Silk Shoes,Shoes,550.3,10,0.471924404870071,0.001697217088283601,10,Dogs
127,Classic Wrap Trousers,Pants,590.37,11,0.35457425004658094,0.001820799659113192,11,Dogs
128,Classic Crew Tee,T-Shirts,624.11,16,0.22904867960547243,0.0019248594529687048,16,Stars
129,Classic Linen Trousers,Pants,1274.28,21,0.5978905735003296,0.0039300922973978325,21,Stars
130,Classic Ribbed Set,Sleepwear,98.24,2,0.4468648208469055,0.00030298856397052693,2,Dogs
131,Classic Cotton Set,Sleepwear,646.31,10,0.41842611420844067,0.001993327959892012,10,Cash Cows
132,Classic Crew Shoes,Shoes,1270.99,28,0.5082584526347853,0.003919945388038477,28,Stars
133,Classic Sleeveless Tee,T-Shirts,954.9,18,0.5639962299717248,0.002945071047795767,18,Stars
134,Classic Ribbed Trousers,Pants,802.75,13,0.49878542510121465,0.002475815042012831,13,Stars
135,Classic Sleeveless Shoes,Shoes,297.28999999999996,7,0.3171650576877796,0.0009168920010463959,7,Dogs
136,Classic Cotton Trousers,Pants,304.2,7,0.4753798670465337,0.00093820359486802,7,Dogs
137,Classic Satin Trousers,Pants,1069.96,23,0.4443250214961307,0.003299935300345124,23,Stars
138,Classic High-Waist Shoes,Shoes,147.63,3,0.38914854704328394,0.00045531557103999277,3,Dogs
139,Classic High-Waist Tee,T-Shirts,436.66999999999996,13,0.4909199166418577,0.001346763194513538,13,Question Marks
140,Vintage Ribbed Dress,Dresses,380.17999999999995,10,0.0861439487585241,0.001172538601896528,10,Dogs
141,Vintage Cotton Dress,Dresses,469.92,12,0.3112870275791624,0.0014493117465495726,12,Dogs
142,Vintage Satin Dress,Dresses,471.03000000000003,7,0.5244464259176699,0.001452735171895738,7,Dogs
143,Classic Satin Set,Sleepwear,834.75,21,0.45081761006289317,0.002574508385325706,21,Stars
144,Classic Silk Trousers,Pants,451.87,12,0.45728967903218753,0.001393642532587154,12,Dogs
145,Classic Boxy Shoes,Shoes,530.0799999999999,10,0.46251052965035877,0.0016348552319777779,10,Dogs
146,Vintage Wrap Shoes,Shoes,972.72,12,0.5889464594127807,0.003000030903353125,12,Cash Cows
147,Vintage Linen Shoes,Shoes,1253.97,24,0.4063316730263391,0.003867452866063942,24,Stars
148,Classic Boxy Tee,T-Shirts,550.3499999999999,15,0.44916871082038695,0.0016973712966325272,15,Question Marks
149,Classic Crew Trousers,Pants,126.72,3,0.5845170454545454,0.00039082563951898586,3,Dogs
150,Vintage Wrap Tee,T-Shirts,755.6,16,0.481849671086235,0.0023303965689752664,16,Stars
151,Classic Sleeveless Trousers,Pants,255.29,7,0.32739237729640797,0.0007873569879482473,7,Dogs
152,Classic Silk Set,Sleepwear,493.6,8,0.5282009724473258,0.0015223448206011004,8,Dogs
153,Vintage Ribbed Shoes,Shoes,209.44,4,0.5565317035905272,0.0006459479319827683,4,Dogs
154,Classic Crew Set,Sleepwear,806.1,15,0.4531075548939338,0.0024861470013908976,15,Stars
155,Vintage Silk Dress,Dresses,829.26,18,0.3043195137833732,0.0025575763086135906,18,Stars
156,Vintage Crew Dress,Dresses,666.24,12,0.5273775216138329,0.0020547954077740622,12,Cash Cows
157,Classic Sleeveless Set,Sleepwear,374.04,9,0.3984600577478345,0.0011536018166483702,9,Dogs
158,Vintage Sleeveless Dress,Dresses,225.75,5,0.37142857142857144,0.0006962506954025494,5,Dogs
159,Classic High-Waist Trousers,Pants,201.54000000000002,6,0.5287287883298601,0.0006215830128524023,6,Dogs
160,Classic High-Waist Set,Sleepwear,771.9399999999999,13,0.38160996968676325,0.002380791857404403,13,Stars
161,Vintage Linen Tee,T-Shirts,732.0,16,0.4896174863387978,0.0022576102282820206,16,Stars
162,Classic Boxy Set,Sleepwear,718.2,12,0.3261439312567132,0.0022150487239783433,12,Cash Cows
163,Vintage Wrap Set,Sleepwear,1077.44,14,0.40995322245322247,0.0033230048693445088,14,Stars
164,Vintage High-Waist Dress,Dresses,245.67000000000002,11,0.37937715059766836,0.0007576873016148143,11,Dogs
165,Vintage Cotton Shoes,Shoes,170.68,4,0.573002109210218,0.0005264056198950482,4,Dogs
166,Vintage Satin Shoes,Shoes,1292.15,20,0.3373148662385043,0.003985206361304117,20,Stars
167,Vintage Silk Shoes,Shoes,211.65,3,0.503756201275691,0.0006527639410053138,3,Dogs
168,Vintage Ribbed Tee,T-Shirts,218.96,4,0.5440263061746438,0.0006753092016183488,4,Dogs
169,Vintage Linen Set,Sleepwear,263.52,8,0.5877352762598664,0.0008127396821815273,8,Dogs
170,Vintage Boxy Dress,Dresses,307.62,6,0.4226643261166374,0.0009487514459345836,6,Dogs
171,Polished Wrap Dress,Dresses,242.08,8,0.39689358889623266,0.0007466151421619011,8,Dogs
172,Vintage Crew Shoes,Shoes,834.0,20,0.5949640287769784,0.0025721952600918103,20,Stars
173,Polished Linen Dress,Dresses,716.26,15,0.39887174363554356,0.00220906544004,15,Stars
174,Vintage Ribbed Set,Sleepwear,290.51,11,0.5319954562665657,0.0008959813489319807,11,Dogs
175,Vintage Cotton Tee,T-Shirts,811.14,18,0.35554053226433074,0.002501691202962675,18,Stars
176,Polished Ribbed Dress,Dresses,276.61,10,0.5308731718493619,0.0008531114279304506,10,Dogs
177,Vintage Cotton Set,Sleepwear,853.2,20,0.39263947491795587,0.0026314112660795357,20,Stars
178,Classic Boxy Trousers,Pants,629.44,16,0.4839857651245552,0.0019412980629642557,16,Stars
179,Vintage Satin Tee,T-Shirts,222.95000000000002,5,0.31890558421170667,0.0006876150278626729,5,Dogs
180,Vintage Sleeveless Shoes,Shoes,892.6300000000001,23,0.5586189126513785,0.002753019970042869,23,Stars
181,Vintage High-Waist Shoes,Shoes,991.42,19,0.4977002683020314,0.003057704825851586,19,Stars
182,Vintage Satin Set,Sleepwear,471.78,6,0.5659417525117639,0.0014550482971296334,6,Dogs
183,Vintage Silk Set,Sleepwear,239.35,5,0.32254021307708375,0.0007381953663105214,5,Dogs
184,Vintage Wrap Trousers,Pants,947.72,23,0.2963062924703987,0.0029229267288899408,23,Stars
185,Vintage Linen Trousers,Pants,763.68,16,0.5225225225225225,0.002355316638161767,16,Stars
186,Vintage Boxy Shoes,Shoes,474.8,8,0.4020219039595619,0.0014643624814047861,8,Dogs
187,Vintage Ribbed Trousers,Pants,120.76,4,0.35475322954620736,0.0003724440043269629,4,Dogs
188,Polished Wrap Shoes,Shoes,918.67,17,0.3986934776254684,0.002833331678163721,17,Stars
189,Vintage Crew Set,Sleepwear,481.20000000000005,10,0.44118869492934326,0.0014841011500673614,10,Dogs
190,Polished Cotton Dress,Dresses,775.74,16,0.4869287602381124,0.002392511691922807,16,Stars
191,Polished Satin Dress,Dresses,695.98,13,0.5261752566831871,0.0021465185337154655,13,Stars
192,Polished Silk Dress,Dresses,749.76,12,0.3308258642765684,0.0023123850338206665,12,Cash Cows
193,Vintage Silk Tee,T-Shirts,707.28,14,0.32996832937450515,0.0021813696205728243,14,Stars
194,Vintage Sleeveless Set,Sleepwear,833.4300000000001,13,0.41007643113398845,0.00257043728491405,13,Stars
195,Vintage Crew Tee,T-Shirts,203.62,14,0.39094625401150723,0.0006279980801677391,14,Question Marks
196,Vintage Cotton Trousers,Pants,160.41,3,0.439124742846456,0.0004947312250255723,3,Dogs
197,Polished Linen Shoes,Shoes,533.44,8,0.38227354529094193,0.0016452180330256301,8,Dogs
198,Polished Crew Dress,Dresses,219.60000000000002,15,0.33060109289617484,0.0006772830684846063,15,Question Marks
199,Polished Sleeveless Dress,Dresses,310.08,9,0.29685245563268503,0.0009563384967017608,9,Dogs
200,Vintage High-Waist Set,Sleepwear,742.56,16,0.3660848954966601,0.002290179031575269,16,Stars
201,Vintage Sleeveless Tee,T-Shirts,1003.64,22,0.40749671196843484,0.0030953933463291903,22,Stars
202,Vintage High-Waist Tee,T-Shirts,699.4,17,0.5443752543593446,0.002157066384782029,17,Stars
203,Polished High-Waist Dress,Dresses,646.04,13,0.512991499862901,0.0019924952348078094,13,Stars
204,Polished Boxy Dress,Dresses,1407.28,36,0.32359307359307365,0.00434028650554197,36,Stars
205,Vintage Satin Trousers,Pants,137.09,6,0.2932627493197565,0.0004228084510863145,6,Dogs
206,Vintage Silk Trousers,Pants,1134.54,18,0.5971759479612883,0.0034991108038184204,18,Stars
207,Vintage Boxy Tee,T-Shirts,271.92,4,0.5695792880258899,0.0008386466848011573,4,Dogs
208,Polished Wrap Tee,T-Shirts,692.83,20,0.36442209895784916,0.0021368034077331043,20,Stars
209,Polished Ribbed Shoes,Shoes,615.79,19,0.5985806849737736,0.0018991991837073571,19,Stars
210,Vintage Boxy Set,Sleepwear,458.56000000000006,8,0.551814375436148,0.001414275609673502,8,Dogs
211,Polished Cotton Shoes,Shoes,813.45,19,0.4249467858663261,0.0025088156286830737,19,Stars
212,Polished Linen Tee,T-Shirts,889.56,12,0.39241872386348303,0.0027435515774187898,12,Cash Cows
213,Polished Ribbed Tee,T-Shirts,1260.8200000000002,22,0.40446693421741403,0.003888579409866855,22,Stars
214,Vintage Crew Trousers,Pants,525.72,9,0.5223687242553025,0.001621408263951399,9,Dogs
215,Vintage Sleeveless Trousers,Pants,296.88,8,0.38641875505254647,0.0009156274925851999,8,Dogs
216,Polished Satin Shoes,Shoes,342.02,7,0.528857961522718,0.0010548467899959245,7,Dogs
217,Polished Cotton Tee,T-Shirts,1089.31,21,0.4930896860079274,0.0033596139313796284,21,Stars
218,Polished Satin Tee,T-Shirts,97.46,2,0.3761543197209111,0.00030058291372727557,2,Dogs
219,Polished Silk Shoes,Shoes,1194.24,24,0.405144694533762,0.003683235572436503,24,Stars
220,Polished Wrap Set,Sleepwear,473.4,9,0.34524714828897346,0.0014600446476348476,9,Dogs
221,Polished Silk Tee,T-Shirts,268.5,5,0.4027932960893856,0.0008280988337345936,5,Dogs
222,Relaxed Wrap Dress,Dresses,674.8399999999999,13,0.3805288366300899,0.002081319243789397,13,Stars
223,Vintage High-Waist Trousers,Pants,573.6,10,0.5718270571827057,0.0017690781788832885,10,Dogs
224,Relaxed Linen Dress,Dresses,1658.8,22,0.48965517241379314,0.005116016183981169,22,Stars
225,Polished Crew Shoes,Shoes,639.21,11,0.5203923593185338,0.001971430374344468,11,Cash Cows
226,Polished Linen Set,Sleepwear,397.8,10,0.5268979386626446,0.0012268816240581801,10,Dogs
227,Polished Crew Tee,T-Shirts,747.63,13,0.3081203268996696,0.0023058157581564032,13,Stars
228,Vintage Boxy Trousers,Pants,1158.1799999999998,25,0.450253871229214,0.0035720205111908067,25,Stars
229,Polished Sleeveless Shoes,Shoes,546.96,12,0.33238262395787627,0.0016869159705753198,12,Dogs
230,Polished Ribbed Set,Sleepwear,676.2,14,0.41055900621118013,0.0020855137108801948,14,Stars
231,Polished High-Waist Shoes,Shoes,925.26,21,0.361552428506582,0.0028536563385522166,21,Stars
232,Polished Boxy Shoes,Shoes,641.4200000000001,13,0.449128496149169,0.0019782463833670134,13,Stars
233,Relaxed Wrap Shoes,Shoes,657.56,17,0.42683557394002064,0.0020280248384004444,17,Stars
234,Polished Sleeveless Tee,T-Shirts,400.0,5,0.45225,0.0012336667914109403,5,Dogs
235,Polished Cotton Set,Sleepwear,236.8,10,0.5413851351351352,0.0007303307405152767,10,Dogs
236,Relaxed Linen Shoes,Shoes,818.0899999999999,13,0.38328301287144445,0.00252312616346344,13,Stars
237,Relaxed Ribbed Dress,Dresses,877.9000000000001,14,0.502305815114928,0.0027075901904491614,14,Stars
238,Polished High-Waist Tee,T-Shirts,343.6,4,0.5926658905704307,0.0010597197738219978,4,Dogs
239,Polished Wrap Trousers,Pants,1594.37,25,0.34977717846648054,0.0049173033055546515,25,Stars
240,Polished Linen Trousers,Pants,839.0799999999999,22,0.5469323544834819,0.0025878628283427293,22,Stars
241,Polished Ribbed Trousers,Pants,345.90999999999997,12,0.29266358208865717,0.0010668441995423958,12,Dogs
242,Relaxed Ribbed Shoes,Shoes,958.38,19,0.2984897002517292,0.0029558039488810422,19,Stars
243,Polished Satin Set,Sleepwear,444.72,12,0.32541824069077174,0.0013715907386906835,12,Dogs
244,Relaxed Cotton Shoes,Shoes,593.2,10,0.48887390424814564,0.0018295278516624245,10,Dogs
245,Relaxed Cotton Dress,Dresses,159.42,7,0.5086807921360936,0.0004916778997168302,7,Dogs
246,Relaxed Satin Dress,Dresses,663.64,25,0.24896327271131735,0.002046776573629891,25,Stars
247,Polished Cotton Trousers,Pants,941.76,16,0.4716275908936459,0.0029045450936979176,16,Stars
248,Polished Boxy Tee,T-Shirts,588.64,16,0.31013862462625713,0.0018154640502403396,16,Question Marks
249,Polished Silk Set,Sleepwear,170.52,6,0.3110485573539762,0.0005259121531784839,6,Dogs
250,Relaxed Satin Shoes,Shoes,1227.96,18,0.3440340076223981,0.0037872336829524456,18,Stars
